channel,a,b,c,sideslip,vw
C_L,0.0,0.003258129534755046,0.2141734310693844,-20.0,5.0
C_D,0.0,0.0014648281734255337,0.885370980054875,-20.0,5.0
C_S,0.0,0.000700078054465798,0.3903455205988248,-20.0,5.0
C_roll,0.0,0.008886916195117861,0.2399147883142546,-20.0,5.0
C_pitch,0.0,-0.031715539539396244,-1.309625131304333,-20.0,5.0
C_yaw,0.0,0.006655249335345694,1.3785770462749611,-20.0,5.0
C_L,0.0,0.0015356416990955073,0.21578345471804958,-20.0,10.0
C_D,0.0,0.0009965092644557455,0.8848515015113346,-20.0,10.0
C_S,0.0,0.0003148646185740966,0.27728206696505303,-20.0,10.0
C_roll,0.0,0.006220678446775332,0.020153269014354443,-20.0,10.0
C_pitch,0.0,-0.026828724457470383,-1.2984868318550076,-20.0,10.0
C_yaw,0.0,0.004847956493242825,1.1369938904574595,-20.0,10.0
C_L,0.0,0.0009337536941533325,0.21304248219616675,-20.0,15.0
C_D,0.0,0.0007233421483647856,0.8814308570672963,-20.0,15.0
C_S,0.0,-0.00012847244847903074,0.2535892587008096,-20.0,15.0
C_roll,0.0,0.0052862265184262435,-0.014187606211724192,-20.0,15.0
C_pitch,0.0,-0.025001652765256697,-1.2851378537113265,-20.0,15.0
C_yaw,0.0,0.0036733089486377865,1.0859170160182319,-20.0,15.0
C_L,0.0,0.0008290669351824743,0.20298004418200455,-20.0,20.0
C_D,0.0,0.0007607747177777984,0.8662942785182598,-20.0,20.0
C_S,0.0,-8.219544533058578e-06,0.24791994015017813,-20.0,20.0
C_roll,0.0,0.0053065520637854925,-0.015165655639609133,-20.0,20.0
C_pitch,0.0,-0.02371878572766146,-1.2350908992088634,-20.0,20.0
C_yaw,0.0,0.0038632945102845765,1.0605656887414574,-20.0,20.0
C_L,0.0,0.0008069505137762338,0.19435183162872424,-20.0,25.0
C_D,0.0,0.0008326374512571935,0.8652983520756478,-20.0,25.0
C_S,0.0,-8.250086107195842e-06,0.24895074328088942,-20.0,25.0
C_roll,0.0,0.005436966656476805,-0.009776845008573357,-20.0,25.0
C_pitch,0.0,-0.024086708642746518,-1.2087888025149562,-20.0,25.0
C_yaw,0.0,0.0038744204376313404,1.0602992043007415,-20.0,25.0
C_L,0.0,0.0028979526620669187,0.21235524762329802,-14.0,5.0
C_D,0.0,0.0013813656108352104,0.7790161548145035,-14.0,5.0
C_S,0.0,0.0007934347141865426,0.24384955212009432,-14.0,5.0
C_roll,0.0,0.005901970759605926,0.13103575182400318,-14.0,5.0
C_pitch,0.0,-0.027959315158981857,-1.2248276322070333,-14.0,5.0
C_yaw,0.0,0.004985135947591212,0.9226165222332262,-14.0,5.0
C_L,0.0,0.0014953155567977536,0.20799769533557436,-14.0,10.0
C_D,0.0,0.0009051566507642252,0.7809019589711319,-14.0,10.0
C_S,0.0,0.00042805828430504873,0.1694771775869942,-14.0,10.0
C_roll,0.0,0.0039074156481001395,-0.013036989264772317,-14.0,10.0
C_pitch,0.0,-0.024255173263769476,-1.2039810862918143,-14.0,10.0
C_yaw,0.0,0.0035423390525434984,0.7584567464328923,-14.0,10.0
C_L,0.0,0.00102608442381629,0.2054308365260628,-14.0,15.0
C_D,0.0,0.0004772179882941869,0.7750785428825375,-14.0,15.0
C_S,0.0,0.0004285137419643287,0.15109120242107646,-14.0,15.0
C_roll,0.0,0.0038088873279385795,-0.042132661626071995,-14.0,15.0
C_pitch,0.0,-0.022169025333959026,-1.1866398108512985,-14.0,15.0
C_yaw,0.0,0.0031307860592405127,0.714293548251596,-14.0,15.0
C_L,0.0,0.0007048605363786006,0.1980419399167033,-14.0,20.0
C_D,0.0,0.0003645210514395984,0.7648357640216986,-14.0,20.0
C_S,0.0,0.0002922970160779855,0.15102602384587835,-14.0,20.0
C_roll,0.0,0.0037636971511827637,-0.03778419383697372,-14.0,20.0
C_pitch,0.0,-0.020938136383477104,-1.1461228055124684,-14.0,20.0
C_yaw,0.0,0.0027789856804504138,0.706123503809006,-14.0,20.0
C_L,0.0,0.0008847577871189274,0.19762252848715045,-14.0,25.0
C_D,0.0,0.0006499459730207133,0.765169314820948,-14.0,25.0
C_S,0.0,0.0003856960462124463,0.14703046500854583,-14.0,25.0
C_roll,0.0,0.0037301320653431165,-0.04031534017887881,-14.0,25.0
C_pitch,0.0,-0.021798310909865823,-1.1479036102131759,-14.0,25.0
C_yaw,0.0,0.003116405047276118,0.6986593504179798,-14.0,25.0
C_L,0.0,0.003074056441914085,0.20677180817371696,-12.0,5.0
C_D,0.0,0.0012018383764698095,0.7507855365302648,-12.0,5.0
C_S,0.0,0.0008792182115713088,0.188761601983331,-12.0,5.0
C_roll,0.0,0.004661311201513101,0.09167874560927045,-12.0,5.0
C_pitch,0.0,-0.02785268537087517,-1.1930092493754387,-12.0,5.0
C_yaw,0.0,0.004292305939886809,0.7656706460448405,-12.0,5.0
C_L,0.0,0.0015644345641188488,0.20783464982407537,-12.0,10.0
C_D,0.0,0.0006338559031822767,0.7491403382548368,-12.0,10.0
C_S,0.0,0.0005758890723238113,0.12755244744105965,-12.0,10.0
C_roll,0.0,0.003269452419106582,-0.03185432746127089,-12.0,10.0
C_pitch,0.0,-0.023061566042167282,-1.1867158492281644,-12.0,10.0
C_yaw,0.0,0.0030841794997811768,0.6291519024868447,-12.0,10.0
C_L,0.0,0.0011174716947083111,0.20170026925799986,-12.0,15.0
C_D,0.0,0.0005778438147183283,0.7451519385641378,-12.0,15.0
C_S,0.0,0.0005678842502391311,0.1129496936918658,-12.0,15.0
C_roll,0.0,0.0031324154360364326,-0.05592364279128001,-12.0,15.0
C_pitch,0.0,-0.021933411126343123,-1.1613811772376914,-12.0,15.0
C_yaw,0.0,0.00296465876122079,0.5939349125994245,-12.0,15.0
C_L,0.0,0.0008089642806870177,0.19569575507984263,-12.0,20.0
C_D,0.0,0.00030908889654813733,0.7367348048654416,-12.0,20.0
C_S,0.0,0.00042361761725448124,0.11155455982794882,-12.0,20.0
C_roll,0.0,0.0030567760898470037,-0.05032765039445757,-12.0,20.0
C_pitch,0.0,-0.02050538093104031,-1.1286892256421424,-12.0,20.0
C_yaw,0.0,0.0025742913285333566,0.5840297695927227,-12.0,20.0
C_L,0.0,0.0008538690869190834,0.19193352804528846,-12.0,25.0
C_D,0.0,0.0008297922789691263,0.7312243934988291,-12.0,25.0
C_S,0.0,0.0003409060095675334,0.11058753812662903,-12.0,25.0
C_roll,0.0,0.002855661988464587,-0.04671764378000442,-12.0,25.0
C_pitch,0.0,-0.021264491789095317,-1.113420232717098,-12.0,25.0
C_yaw,0.0,0.0026414581019680466,0.5811856627847442,-12.0,25.0
C_L,0.0,0.0027008463918275502,0.20333520898281973,-10.0,5.0
C_D,0.0,0.000908634236168555,0.7211377058935816,-10.0,5.0
C_S,0.0,0.00017586887023006447,0.13926769916800602,-10.0,5.0
C_roll,0.0,0.002943457007636158,0.061273034569675505,-10.0,5.0
C_pitch,0.0,-0.025785580887053437,-1.1728630126858481,-10.0,5.0
C_yaw,0.0,0.002321999541573749,0.6248194918315868,-10.0,5.0
C_L,0.0,0.001679679452352069,0.20354668890671343,-10.0,10.0
C_D,0.0,0.0007434814359947893,0.720343344935842,-10.0,10.0
C_S,0.0,0.0006579101661916864,0.08913810057445463,-10.0,10.0
C_roll,0.0,0.002600290814015484,-0.040484766305949625,-10.0,10.0
C_pitch,0.0,-0.022887507613983744,-1.1612121867856207,-10.0,10.0
C_yaw,0.0,0.00279780704869346,0.5102881685209456,-10.0,10.0
C_L,0.0,0.0012117125654255497,0.20102802221481433,-10.0,15.0
C_D,0.0,0.0005694990496935061,0.71642127661717,-10.0,15.0
C_S,0.0,0.0005540921858812237,0.07722012845248376,-10.0,15.0
C_roll,0.0,0.002465468019165046,-0.06134068436530387,-10.0,15.0
C_pitch,0.0,-0.021354102653444722,-1.1457869258935158,-10.0,15.0
C_yaw,0.0,0.00247506197480543,0.4829465886721605,-10.0,15.0
C_L,0.0,0.0007700853880348985,0.1945975788381135,-10.0,20.0
C_D,0.0,8.804189661707599e-05,0.70741064531499,-10.0,20.0
C_S,0.0,0.00022155828671375808,0.07812451063305141,-10.0,20.0
C_roll,0.0,0.002159231713254379,-0.054460882592666376,-10.0,20.0
C_pitch,0.0,-0.019637636209599702,-1.1087369524815522,-10.0,20.0
C_yaw,0.0,0.0015765699176350156,0.4774141820917008,-10.0,20.0
C_L,0.0,0.0007898211693129167,0.1898022794082177,-10.0,25.0
C_D,0.0,0.0006565053715685388,0.6996519653246434,-10.0,25.0
